Category,Name,Price,Rating,Reviews,URL,Price_Clean,Rating_Clean,Reviews_Clean,Price_per_Review,High_Rating_Flag,Price_Category
Mouse,UGREEN M726 Wireless Mouse Dual Mode bluetooth/NearLink Technology 1000-4000DPI Adjustable Rechargeable Ultra Quiet Silent Office Mouse 75g Lightweight,US$18.99,,0 review,https://www.banggood.com/UGREEN-M726-Wireless-Mouse-Dual-Mode-bluetooth-or-NearLink-Technology-1000-4000DPI-Adjustable-Rechargeable-Ultra-Quiet-Silent-Office-Mouse-75g-Lightweight-p-2039829.html?cur_warehouse=CN&ID=6287836&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,18.99,,0,18.99,0,Cheap
Mouse,Mchose G3 V2 Pro Tri-mode Wireless Gaming Mouse 2.4G bluetooth PAW3395 Sensor 26000DPI 650IPS 59g Lightweight 800mAh M HUB Drive for Gaming and Office,US$30.99,,0 review,https://www.banggood.com/Mchose-G3-V2-Pro-Tri-mode-Wireless-Gaming-Mouse-2_4G-bluetooth-PAW3395-Sensor-26000DPI-650IPS-59g-Lightweight-800mAh-M-HUB-Drive-for-Gaming-and-Office-p-2040732.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,30.99,,0,30.99,0,Moderate
Mouse,MCHOSE K7 Ultra Wireless Mouse Tri-mode PAW3950 Sensor 42000DPI 750IPS Dual 8K Return Rate 500mAh Rechargeable Gaming Mouse 59g Lightweight,US$86.99,,0 review,https://www.banggood.com/MCHOSE-K7-Ultra-Wireless-Mouse-Tri-mode-PAW3950-Sensor-42000DPI-750IPS-Dual-8K-Return-Rate-500mAh-Rechargeable-Gaming-Mouse-59g-Lightweight-p-2041204.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,86.99,,0,86.99,0,Expensive
Mouse,Baseus F02 bluetooth 5.3 Ergonomic Wireless Mouse 1600 DPI 70g Lightweight Portable Mute Mice for Laptop Macbook Computer,US$14.99,,0 review,https://www.banggood.com/Baseus-F02-bluetooth-5_3-Ergonomic-Wireless-Mouse-1600-DPI-70g-Lightweight-Portable-Mute-Mice-for-Laptop-Macbook-Computer-p-2039342.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,14.99,,0,14.99,0,Cheap
Mouse,Baseus F02 2.4G Ergonomic Wireless Mouse 1600 DPI Portable Mute Mice for Laptop Computer PC Macbook Office Home,US$15.99,,0 review,https://www.banggood.com/Baseus-F02-2_4G-Ergonomic-Wireless-Mouse-1600-DPI-Portable-Mute-Mice-for-Laptop-Computer-PC-Macbook-Office-Home-p-2039350.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,15.99,,0,15.99,0,Cheap
Mouse,Rapoo VT3 /VT3 MAX Wireless Gaming Mouse Dual-mode 8K Return Rate 53g Lightweight 800mAh E-sports Gamer Mice,US$53.99,,0 review,https://www.banggood.com/Rapoo-VT3-or-VT3-MAX-Wireless-Gaming-Mouse-Dual-mode-8K-Return-Rate-53g-Lightweight-800mAh-E-sports-Gamer-Mice-p-2039749.html?cur_warehouse=CN&ID=62878306334658&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,53.99,,0,53.99,0,Expensive
Mouse,RAPOO VT1 PRO MAX Dual-mode Gaming Mouse PAW3950 Sensor 4K Wireless + 8K Wired Return Rate 800mAh E-sports Professional FPS Gamer Mice 59g Lightweight,US$74.99,,0 review,https://www.banggood.com/RAPOO-VT1-PRO-MAX-Dual-mode-Gaming-Mouse-PAW3950-Sensor-4K-Wireless-+-8K-Wired-Return-Rate-800mAh-E-sports-Professional-FPS-Gamer-Mice-59g-Lightweight-p-2039754.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,74.99,,0,74.99,0,Expensive
Mouse,Darmoshark M5 Air Carbon Fiber Wireless Mouse 30g Lightweight PAW3950 8K Polling Rate Tri Mode 2.4G/bluetooth/Wired Gamer Mice for PC Laptop Computer,US$99.99,,0 review,https://www.banggood.com/Darmoshark-M5-Air-Carbon-Fiber-Wireless-Mouse-30g-Lightweight-PAW3950-8K-Polling-Rate-Tri-Mode-2_4G-or-bluetooth-or-Wired-Gamer-Mice-for-PC-Laptop-Computer-p-2039760.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,99.99,,0,99.99,0,Expensive
Mouse,LEOBOG GM3 Tri-mode Wireless Gaming Mouse PAW3311 Sensor 50g Lightweight 12000 DPI 1000Hz Polling Rate RGB Charging Dock 2.4G/Bluetooth/Wired Gamer Mice,US$23.99,,0 review,https://www.banggood.com/LEOBOG-GM3-Tri-mode-Wireless-Gaming-Mouse-PAW3311-Sensor-50g-Lightweight-12000-DPI-1000Hz-Polling-Rate-RGB-Charging-Dock-2_4G-or-Bluetooth-or-Wired-Gamer-Mice-p-2039796.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,23.99,,0,23.99,0,Moderate
Mouse,AJAZZ AJ139 V2 MC Tri-mode Wireless Gaming Mouse with RGB Charger Dock PAW3311 Sensor 66g Lightweight Rechargeable 1KHz Polling Rate Gamer Mice,US$27.99,,0 review,https://www.banggood.com/AJAZZ-AJ139-V2-MC-Tri-mode-Wireless-Gaming-Mouse-with-RGB-Charger-Dock-PAW3311-Sensor-66g-Lightweight-Rechargeable-1KHz-Polling-Rate-Gamer-Mice-p-2039798.html?cur_warehouse=CN&ID=62878456334625&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,27.99,,0,27.99,0,Moderate
Mouse,HXSJ T68 Tri-mode Wireless Gaming Mouse PAW3311 Sensor 18000DPI Gamer Mice 1K Return Rate 58g Lightweight,US$19.99,,1 review,https://www.banggood.com/HXSJ-T68-Tri-mode-Wireless-Gaming-Mouse-PAW3311-Sensor-18000DPI-Gamer-Mice-1K-Return-Rate-58g-Lightweight-p-2039820.html?cur_warehouse=CN&ID=62878446334364&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,19.99,,1,9.995,0,Cheap
Mouse,SMAILWOLF M6 Tri-mode Gaming Mouse with Charging Dock PAW3311 Sensor 12000DPI 1KHz Return Rate Power Display 57g Lightweight Ergonomics E-sports Gamer Mice for PC Laptop Computer,US$29.99,,0 review,https://www.banggood.com/SMAILWOLF-M6-Tri-mode-Gaming-Mouse-with-Charging-Dock-PAW3311-Sensor-12000DPI-1KHz-Return-Rate-Power-Display-57g-Lightweight-Ergonomics-E-sports-Gamer-Mice-for-PC-Laptop-Computer-p-2041469.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,29.99,,0,29.99,0,Moderate
Mouse,Lenovo M1 Master Wireless bluetooth Mouse 800-4000DPI 60H Continuous Use Time 7-key Ergonomics Mice for Offices PC Laptop Computer,US$17.99,,2 reviews,https://www.banggood.com/Lenovo-M1-Master-Wireless-bluetooth-Mouse-800-4000DPI-60H-Continuous-Use-Time-7-key-Ergonomics-Mice-for-Offices-PC-Laptop-Computer-p-2029920.html?cur_warehouse=CN&ID=6287836&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,17.99,,2,5.996666666666666,0,Cheap
Mouse,Xiaomi MIIIW Wireless bluetooth Mouse 800/1200/1600DPI Switchable Silent Clicking Detachable Magnetic Top Cover Ergonomics Dual-mode Mouse,US$14.99,,3 reviews,https://www.banggood.com/Xiaomi-MIIIW-Wireless-bluetooth-Mouse-800-or-1200-or-1600DPI-Switchable-Silent-Clicking-Detachable-Magnetic-Top-Cover-Ergonomics-Dual-mode-Mouse-p-2025591.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,14.99,,3,3.7475,0,Cheap
Mouse,Lenovo Xiaoxin Air2 Dual Mode Mouse Wireless bluetooth 600-4000DPI Mini CNC Metal Mice for Laptop PC Win7/8/10,US$19.99,,3 reviews,https://www.banggood.com/Lenovo-Xiaoxin-Air2-Dual-Mode-Mouse-Wireless-bluetooth-600-4000DPI-Mini-CNC-Metal-Mice-for-Laptop-PC-Win7-or-8-or-10-p-2029887.html?cur_warehouse=CN&ID=6287853&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,19.99,,3,4.9975,0,Cheap
Mouse,Lenovo Xiaoxin Air Handle Silent Wireless Mouse PixArt3220 Sensor 600-4000DPI 2.4G Wireless Portable Mute Mice for Offices PC Computer Plug and Play,US$10.99,,2 reviews,https://www.banggood.com/Lenovo-Xiaoxin-Air-Handle-Silent-Wireless-Mouse-PixArt3220-Sensor-600-4000DPI-2_4G-Wireless-Portable-Mute-Mice-for-Offices-PC-Computer-Plug-and-Play-p-2029888.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,10.99,,2,3.6633333333333336,0,Cheap
Mouse,HXSJ T27 2.4G Wireless Vertical Gaming Mouse 1200/2400/3200DPI 6-Key Ergonomic Mice for Office Working,US$14.99,,15 reviews,https://www.banggood.com/HXSJ-T27-2_4G-Wireless-Vertical-Gaming-Mouse-1200-or-2400-or-3200DPI-6-Key-Ergonomic-Mice-for-Office-Working-p-2003841.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,14.99,,15,0.936875,0,Cheap
Mouse,Ajazz AJ139 Pro Dual Mode Wireless Gaming Mouse PAW3395 26000DPI 2.4GHz+Wired E-sports Gamer Mice for PC Laptop Computer 59g Lightweight,US$33.99,,0 review,https://www.banggood.com/Ajazz-AJ139-Pro-Dual-Mode-Wireless-Gaming-Mouse-PAW3395-26000DPI-2_4GHz+Wired-E-sports-Gamer-Mice-for-PC-Laptop-Computer-59g-Lightweight-p-2017911.html?cur_warehouse=CN&ID=6287830&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,33.99,,0,33.99,0,Moderate
Mouse,Free Wolf A2 Dual-mode Gaming Mouse with Digital Screen PixArt 3212 Sensor 4000DPI RGB Light Transparent Shell Wireless bluetooth Gamer Mice,US$10.99,,0 review,https://www.banggood.com/Free-Wolf-A2-Dual-mode-Gaming-Mouse-with-Digital-Screen-PixArt-3212-Sensor-4000DPI-RGB-Light-Transparent-Shell-Wireless-bluetooth-Gamer-Mice-p-2022373.html?cur_warehouse=CN&ID=6287845&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,10.99,,0,10.99,0,Cheap
Mouse,Cheerdots 2 Detachable Air Mouse Wireless Touchpad All-in-one Pocket AI Recording ChatGPT Enabled Mouse Customized Gaming Mouse,US$79.99,,0 review,https://www.banggood.com/Cheerdots-2-Detachable-Air-Mouse-Wireless-Touchpad-All-in-one-Pocket-AI-Recording-ChatGPT-Enabled-Mouse-Customized-Gaming-Mouse-p-2029916.html?cur_warehouse=CN&ID=6287836&rmmds=CategoryComputersPop&trace_id=90dc1763845236360,79.99,,0,79.99,0,Expensive
